primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Hong Kong,0.0,0.11764705882352941,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.0,0.058823529411764705,0.0,0.029411764705882353,0.08823529411764706,0.0,0.029411764705882353,0.0,0.058823529411764705
Hungary,0.008771929824561403,0.12280701754385964,0.12280701754385964,0.09649122807017543,0.043859649122807015,0.05263157894736842,0.06140350877192982,0.02631578947368421,0.043859649122807015,0.06140350877192982,0.03508771929824561,0.017543859649122806,0.02631578947368421,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.19298245614035087
Iceland,0.06451612903225806,0.06451612903225806,0.08064516129032258,0.04838709677419355,0.03225806451612903,0.03225806451612903,0.11290322580645161,0.03225806451612903,0.04838709677419355,0.03225806451612903,0.016129032258064516,0.03225806451612903,0.0,0.04838709677419355,0.016129032258064516,0.016129032258064516,0.3225806451612903
India,0.05555555555555555,0.11666666666666667,0.12777777777777777,0.1111111111111111,0.05555555555555555,0.06666666666666667,0.08333333333333333,0.016666666666666666,0.044444444444444446,0.03333333333333333,0.016666666666666666,0.0,0.005555555555555556,0.044444444444444446,0.022222222222222223,0.016666666666666666,0.18333333333333332
Indonesia,0.0,0.1702127659574468,0.0425531914893617,0.10638297872340426,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.02127659574468085,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.2765957446808511
Iran,0.0,0.034482758620689655,0.13793103448275862,0.0,0.06896551724137931,0.0,0.06896551724137931,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.3448275862068966
Ireland,0.02197802197802198,0.13736263736263737,0.12087912087912088,0.08241758241758242,0.07142857142857142,0.08791208791208792,0.03296703296703297,0.02197802197802198,0.06043956043956044,0.054945054945054944,0.016483516483516484,0.01098901098901099,0.02197802197802198,0.03296703296703297,0.02197802197802198,0.038461538461538464,0.16483516483516483
Israel,0.15656565656565657,0.3181818181818182,0.17003367003367004,0.09427609427609428,0.07744107744107744,0.02861952861952862,0.030303030303030304,0.021885521885521887,0.011784511784511785,0.026936026936026935,0.006734006734006734,0.005050505050505051,0.006734006734006734,0.003367003367003367,0.0016835016835016834,0.006734006734006734,0.03367003367003367
Italy,0.033419023136246784,0.17095115681233933,0.16709511568123395,0.08997429305912596,0.11439588688946016,0.06298200514138817,0.05012853470437018,0.042416452442159386,0.04755784061696658,0.043701799485861184,0.016709511568123392,0.015424164524421594,0.028277634961439587,0.02056555269922879,0.008997429305912597,0.014138817480719794,0.07326478149100257
Japan,0.15321252059308071,0.30971993410214166,0.1812191103789127,0.09390444810543658,0.05518945634266886,0.039538714991762765,0.03212520593080725,0.018121911037891267,0.015650741350906095,0.023064250411861616,0.009884678747940691,0.009884678747940691,0.009060955518945634,0.006589785831960461,0.0032948929159802307,0.0032948929159802307,0.036243822075782535
